winner,loser,replica,exhibition,draw,location,league,round,year,date,date
Dani,Stuart,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Dtoke,Klan,SIN RÉPLICA,FALSE,FALSE,"Buenos Aires, Argentina",FMS Argentina,9,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Skone,Blon,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,7,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Arkano,Force,3 RÉPLICAS,FALSE,FALSE,"Madrid, España",FMS Espana,7,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Zasko,BTA,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,7,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Hander,Errecé,SIN RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,7,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Chuty,Walls,1 RÉPLICA,FALSE,FALSE,"Madrid, España",FMS Espana,7,2018-2019,"Sábado, 29 de Diciembre de 2018",29/12/2018
Skone,Arkano,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,8,2018-2019,"Sábado, 19 de Enero de 2019",19/01/2019
Chuty,Errecé,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,8,2018-2019,"Sábado, 19 de Enero de 2019",19/01/2019
BTA,Hander,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,8,2018-2019,"Sábado, 19 de Enero de 2019",19/01/2019
Force,Blon,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,8,2018-2019,"Sábado, 19 de Enero de 2019",19/01/2019
Walls,Zasko,SIN RÉPLICA,FALSE,FALSE,"Málaga, España",FMS Espana,8,2018-2019,"Sábado, 19 de Enero de 2019",19/01/2019
Errecé,Walls,SIN RÉPLICA,FALSE,FALSE,"Valencia, España",FMS Espana,9,2018-2019,"Sábado, 16 de Febrero de 2019",16/02/2019
Chuty,Arkano,SIN RÉPLICA,FALSE,FALSE,"Valencia, España",FMS Espana,9,2018-2019,"Sábado, 16 de Febrero de 2019",16/02/2019
BTA,Force,SIN RÉPLICA,FALSE,FALSE,"Valencia, España",FMS Espana,9,2018-2019,"Sábado, 16 de Febrero de 2019",16/02/2019
Blon,Zasko,SIN RÉPLICA,FALSE,FALSE,"Valencia, España",FMS Espana,9,2018-2019,"Sábado, 16 de Febrero de 2019",16/02/2019
